,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR
310,,Legal Occupations,major,1150780,0.5,52.71,109630,0.6,18.33,25.82,39.34,69.12,#,38130,53710,81820,143780,#,,,2019
325,,Educational Instruction and Library Occupations,major,8886600,0.4,27.75,57710,0.5,11.33,15.87,24.42,34.79,47.73,23570,33010,50790,72370,99270,,,2019
419,,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2017810,0.7,29.79,61960,0.7,11.49,16.02,24.59,36.53,52.33,23890,33310,51150,75980,108840,,,2019
477,,Healthcare Practitioners and Technical Occupations,major,8673140,0.3,40.21,83640,0.2,16.65,23.55,32.78,46.83,69.41,34630,48990,68190,97400,144370,,,2019
557,,Healthcare Support Occupations,major,6521790,0.3,14.91,31010,0.2,10,11.57,13.69,17.06,21.68,20800,24070,28470,35480,45100,,,2019
584,,Protective Service Occupations,major,3498800,0.4,23.98,49880,0.6,11.16,14.02,19.99,30.43,43.68,23210,29150,41580,63290,90850,,,2019
625,,Food Preparation and Serving Related Occupations,major,13494590,0.2,12.82,26670,0.2,8.62,9.56,11.65,14.31,18.59,17940,19890,24220,29770,38660,,,2019
658,,Building and Grounds Cleaning and Maintenance Occupations,major,4429100,0.3,15.03,31250,0.2,9.55,11.24,13.62,17.55,22.92,19860,23390,28330,36510,47670,,,2019
676,,Personal Care and Service Occupations,major,3303200,0.5,15.03,31260,0.2,8.95,10.41,12.61,17.25,24.49,18610,21650,26220,35880,50940,,,2019
728,,Sales and Related Occupations,major,14371410,0.2,20.7,43060,0.2,9.41,11.2,14.24,23.59,38.95,19570,23300,29630,49060,81020,,,2019
771,,Office and Administrative Support Occupations,major,19528250,0.2,19.73,41040,0.1,11.44,14.14,18.07,23.75,30.41,23790,29400,37580,49390,63260,,,2019
880,,"Farming, Fishing, and Forestry Occupations",major,484750,1.3,15.07,31340,0.5,11,11.62,13.07,16.72,22.83,22880,24180,27180,34780,47480,,,2019
904,,Construction and Extraction Occupations,major,6194140,0.3,25.28,52580,0.2,13.66,17.08,22.8,30.74,41.26,28420,35530,47430,63940,85810,,,2019
1001,,"Installation, Maintenance, and Repair Occupations",major,5713450,0.3,24.1,50130,0.1,12.86,16.6,22.42,29.77,38.24,26740,34530,46630,61930,79540,,,2019
1076,,Production Occupations,major,9158980,0.3,19.3,40140,0.2,11.14,13.39,17.31,23.21,30.41,23160,27860,36000,48270,63250,,,2019
1243,,Transportation and Material Moving Occupations,major,12532030,0.3,18.23,37920,0.3,10.21,12.12,15.6,21.45,29.25,21240,25220,32440,44610,60830,,,2019
1,11-0000,Management Occupations,major,7947300,0.2,60.81,126480,0.2,24.84,35.7,52.77,76.71,#,51670,74250,109760,159550,#,,,2020
67,13-0000,Business and Financial Operations Occupations,major,8387490,0.2,38.79,80680,0.2,19.38,25.74,34.73,47.31,62.68,40310,53550,72250,98390,130380,,,2020
118,15-0000,Computer and Mathematical Occupations,major,4587700,0.5,46.53,96770,0.5,22.31,31.12,43.92,59.44,75.54,46400,64730,91350,123640,157120,,,2020
148,17-0000,Architecture and Engineering Occupations,major,2515040,0.5,43.41,90300,0.3,22.21,29.87,39.98,53.83,69.27,46190,62120,83160,111960,144090,,,2020
208,19-0000,"Life, Physical, and Social Science Occupations",major,1296060,0.7,38.15,79360,0.4,17.76,24.05,33.54,47.6,63.64,36930,50020,69760,99010,132370,,,2020
284,21-0000,Community and Social Service Occupations,major,2231070,0.5,25.09,52180,0.4,13.91,17.38,22.85,30.42,39.64,28940,36140,47520,63260,82450,,,2020
310,23-0000,Legal Occupations,major,1154740,0.5,54,112320,0.7,18.78,26.39,40.82,71.32,#,39070,54880,84910,148340,#,,,2020
325,25-0000,Educational Instruction and Library Occupations,major,8446910,0.4,28.75,59810,0.5,11.91,16.46,25.18,35.78,49.31,24770,34250,52380,74430,102570,,,2020
419,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1857500,0.7,30.96,64400,0.7,12.25,16.82,25.55,37.93,54.63,25490,34980,53150,78900,113630,,,2020
477,29-0000,Healthcare Practitioners and Technical Occupations,major,8579180,0.3,41.3,85900,0.2,17.11,24.16,33.59,47.95,71.5,35580,50250,69870,99740,148720,,,2020
557,31-0000,Healthcare Support Occupations,major,6440880,0.4,15.5,32250,0.2,10.31,12.26,14.4,17.74,22.3,21450,25490,29960,36900,46380,,,2020
584,33-0000,Protective Service Occupations,major,3351180,0.4,25.11,52220,0.7,11.88,14.82,21.02,31.77,45.2,24710,30820,43710,66090,94020,,,2020
625,35-0000,Food Preparation and Serving Related Occupations,major,11262850,0.2,13.3,27650,0.2,8.78,9.8,12.26,14.91,19.05,18260,20380,25500,31020,39630,,,2020
658,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4090370,0.3,15.75,32760,0.2,9.95,11.89,14.39,18.34,23.89,20700,24730,29940,38150,49690,,,2020
676,39-0000,Personal Care and Service Occupations,major,2696340,0.5,15.68,32610,0.2,9.21,10.99,13.52,17.99,25.08,19160,22870,28120,37410,52180,,,2020
728,41-0000,Sales and Related Occupations,major,13120320,0.2,22,45750,0.2,9.85,11.89,15.15,24.94,41.47,20490,24740,31500,51880,86270,,,2020
771,43-0000,Office and Administrative Support Occupations,major,18548360,0.2,20.38,42390,0.1,12.1,14.69,18.62,24.4,31.26,25170,30560,38720,50760,65020,,,2020
880,45-0000,"Farming, Fishing, and Forestry Occupations",major,478770,1.2,16.02,33310,0.4,11.58,13.02,14.27,17.28,23.53,24090,27070,29670,35950,48950,,,2020
904,47-0000,Construction and Extraction Occupations,major,5937830,0.3,25.93,53940,0.2,14.12,17.57,23.37,31.46,42.24,29360,36540,48610,65440,87870,,,2020
1001,49-0000,"Installation, Maintenance, and Repair Occupations",major,5486930,0.3,25.17,52360,0.1,13.55,17.36,23.44,31,39.78,28190,36100,48750,64490,82730,,,2020
1076,51-0000,Production Occupations,major,8519410,0.3,20.08,41760,0.2,11.85,14.12,18,24,31.41,24650,29360,37440,49910,65330,,,2020
1243,53-0000,Transportation and Material Moving Occupations,major,12163360,0.3,19.08,39680,0.3,10.81,13.02,16.38,22.32,30.32,22490,27070,34080,46430,63050,,,2020
1,11-0000,Management Occupations,major,8909910,0.2,59.31,123370,0.3,23.01,35.92,49.25,77.39,#,47860,74710,102450,160960,#,,,2021
74,13-0000,Business and Financial Operations Occupations,major,9053790,0.2,39.72,82610,0.2,18.78,25.68,36.81,48.19,62.8,39060,53410,76570,100220,130620,,,2021
132,15-0000,Computer and Mathematical Occupations,major,4654750,0.4,48.01,99860,0.3,22.8,30.09,46.9,61.55,78.67,47430,62590,97540,128030,163640,,,2021
168,17-0000,Architecture and Engineering Occupations,major,2436520,0.3,44.1,91740,0.3,22.83,29.55,38.39,54.11,71.37,47490,61470,79840,112550,148460,,,2021
229,19-0000,"Life, Physical, and Social Science Occupations",major,1273640,0.5,38.81,80730,0.5,18.19,23.78,34.97,48.19,63.09,37830,49460,72740,100230,131230,,,2021
308,21-0000,Community and Social Service Occupations,major,2239680,0.4,25.94,53960,0.3,14.64,18.22,23.28,30.07,38.62,30440,37890,48410,62550,80320,,,2021
334,23-0000,Legal Occupations,major,1178140,0.5,54.38,113100,1,18.57,28.08,39.63,75.43,#,38620,58400,82430,156900,#,,,2021
349,25-0000,Educational Instruction and Library Occupations,major,8191930,0.2,29.88,62140,0.3,13.61,17.84,27.51,37.09,48.23,28320,37110,57220,77150,100310,,,2021
446,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1815290,0.5,31.78,66100,1.5,13.95,17.92,24.61,38.08,58.86,29010,37270,51190,79200,122420,,,2021
508,29-0000,Healthcare Practitioners and Technical Occupations,major,8787730,0.2,43.8,91100,0.3,17.76,23.41,36.08,48,74.43,36930,48700,75040,99840,154810,,,2021
610,31-0000,Healthcare Support Occupations,major,6603680,0.2,16.02,33330,0.2,11,13.72,14.37,17.91,22.58,22890,28540,29880,37240,46960,,,2021
637,33-0000,Protective Service Occupations,major,3385030,0.3,25.68,53420,0.3,13.16,15.12,22.4,31.06,46.59,27370,31450,46590,64610,96900,,,2021
680,35-0000,Food Preparation and Serving Related Occupations,major,11201480,0.2,14.16,29450,0.4,8.89,10.82,13.65,15.05,18.9,18480,22500,28400,31300,39320,,,2021
713,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4108810,0.3,16.23,33750,0.2,10.9,13.07,14.54,18.19,23.06,22660,27180,30240,37840,47960,,,2021
731,39-0000,Personal Care and Service Occupations,major,2566440,0.6,16.17,33620,0.5,9.52,11.33,14.16,18.05,23.76,19810,23560,29450,37540,49410,,,2021
791,41-0000,Sales and Related Occupations,major,13256290,0.3,22.15,46080,0.2,10.74,12.92,14.71,23.55,39.28,22330,26870,30600,48980,81710,,,2021
834,43-0000,Office and Administrative Support Occupations,major,18299380,0.1,20.88,43430,0.1,13.47,14.51,18.29,23.31,30.01,28010,30180,38050,48490,62420,,,2021
943,45-0000,"Farming, Fishing, and Forestry Occupations",major,452490,0.8,16.7,34730,0.7,12.98,14,14.36,17.86,23.14,26990,29120,29860,37140,48140,,,2021
967,47-0000,Construction and Extraction Occupations,major,5848950,0.2,26.87,55900,0.3,14.46,18.12,23.18,30.75,44.75,30080,37680,48210,63960,93080,,,2021
1070,49-0000,"Installation, Maintenance, and Repair Occupations",major,5574410,0.2,25.66,53380,0.2,14.2,17.93,23.05,29.81,38.2,29540,37280,47940,62000,79460,,,2021
1145,51-0000,Production Occupations,major,8408030,0.2,20.71,43070,0.2,13.26,14.44,18.13,23.23,29.96,27590,30040,37710,48310,62310,,,2021
1312,53-0000,Transportation and Material Moving Occupations,major,12639920,0.2,19.88,41340,0.2,11.45,14.19,17.72,22.88,29.72,23820,29520,36860,47590,61820,,,2021
