,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR
704,39-0000,Personal Care and Service Occupations,major,3986740,0.4,11.88,24710,0.2,8.01,8.71,10.1,13.16,18.29,16660,18110,21010,27370,38040,,,2013
766,41-0000,Sales and Related Occupations,major,14068190,0.2,18.37,38200,0.2,8.25,9.12,12.1,20.93,35.78,17160,18960,25160,43540,74430,,,2013
809,43-0000,Office and Administrative Support Occupations,major,21442800,0.1,16.78,34900,0.1,9.27,11.69,15.39,20.47,26.54,19290,24320,32010,42570,55200,,,2013
922,45-0000,"Farming, Fishing, and Forestry Occupations",major,435250,1.0,11.7,24330,0.5,8.25,8.67,9.32,13.05,18.77,17160,18020,19380,27150,39040,,,2013
949,47-0000,Construction and Extraction Occupations,major,5088030,0.3,21.94,45630,0.2,11.41,14.61,19.55,27.54,36.02,23720,30380,40670,57290,74920,,,2013
1053,49-0000,"Installation, Maintenance, and Repair Occupations",major,5138130,0.3,21.35,44420,0.1,11.01,14.69,19.92,26.95,34.18,22900,30550,41440,56050,71090,,,2013
1129,51-0000,Production Occupations,major,8765180,0.3,16.79,34930,0.2,9.08,11.17,15.03,20.5,27.44,18890,23240,31250,42650,57080,,,2013
1297,53-0000,Transportation and Material Moving Occupations,major,9005120,0.3,16.28,33860,0.3,8.59,10.1,13.99,19.6,27.08,17860,21010,29100,40760,56320,,,2013
1,11-0000,Management Occupations,major,6741640,0.2,54.08,112490,0.1,22.33,32.25,46.75,67.86,#,46440,67080,97230,141150,#,,,2014
70,13-0000,Business and Financial Operations Occupations,major,6828940,0.3,34.81,72410,0.2,17.31,23.02,31.15,42.16,55.95,36010,47880,64790,87700,116380,,,2014
128,15-0000,Computer and Mathematical Occupations,major,3834180,0.5,40.37,83970,0.5,19.78,27.36,38.18,51.12,64.66,41130,56920,79420,106330,134500,,,2014
161,17-0000,Architecture and Engineering Occupations,major,2418020,0.5,39.19,81520,0.2,20.01,26.95,36.43,48.52,61.92,41630,56060,75780,100910,128780,,,2014
221,19-0000,"Life, Physical, and Social Science Occupations",major,1144440,0.8,33.69,70070,0.4,15.47,20.91,29.55,42.33,56.64,32170,43490,61450,88040,117810,,,2014
292,21-0000,Community and Social Service Occupations,major,1930750,0.4,21.79,45310,0.4,11.53,15,19.85,27.06,35.22,23990,31190,41290,56290,73250,,,2014
319,23-0000,Legal Occupations,major,1052900,0.5,48.61,101110,0.6,17.23,23.94,36.95,64.15,#,35840,49790,76860,133430,#,,,2014
335,25-0000,"Education, Training, and Library Occupations",major,8435780,0.3,25.1,52210,0.5,10.11,14.88,22.43,31.36,42.4,21040,30940,46660,65220,88190,,,2014
431,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1793700,0.6,26.82,55790,0.6,9.71,14.16,21.72,33.02,47.6,20200,29450,45180,68680,99000,,,2014
493,29-0000,Healthcare Practitioners and Technical Occupations,major,7854380,0.3,36.54,76010,0.2,15.18,21.12,29.67,42.23,64.23,31570,43920,61710,87840,133600,,,2014
585,31-0000,Healthcare Support Occupations,major,3940500,0.4,13.86,28820,0.2,8.89,10.33,12.71,16.22,20.52,18480,21480,26440,33730,42690,,,2014
611,33-0000,Protective Service Occupations,major,3297180,0.4,21.14,43980,0.7,9.18,11.79,17.88,27.54,38.64,19090,24510,37180,57270,80360,,,2014
652,35-0000,Food Preparation and Serving Related Occupations,major,12277720,0.1,10.57,21980,0.2,7.97,8.48,9.2,11.38,15.12,16580,17630,19130,23660,31440,,,2014
686,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4371450,0.3,12.68,26370,0.2,8.27,9.12,11.19,14.76,19.5,17200,18970,23270,30700,40560,,,2014
704,39-0000,Personal Care and Service Occupations,major,4154360,0.4,12.01,24980,0.2,8.09,8.78,10.22,13.26,18.48,16840,18250,21260,27580,38440,,,2014
766,41-0000,Sales and Related Occupations,major,14248470,0.2,18.59,38660,0.2,8.34,9.17,12.19,21.17,36.19,17340,19070,25360,44020,75280,,,2014
809,43-0000,Office and Administrative Support Occupations,major,21638470,0.2,17.08,35530,0.1,9.37,11.85,15.64,20.87,27.15,19480,24650,32520,43410,56460,,,2014
922,45-0000,"Farming, Fishing, and Forestry Occupations",major,447130,1.0,12.09,25160,0.5,8.35,8.81,9.74,13.71,19.45,17370,18330,20250,28520,40450,,,2014
949,47-0000,Construction and Extraction Occupations,major,5290270,0.3,22.4,46600,0.2,11.74,14.91,19.9,28.03,36.95,24430,31000,41380,58310,76860,,,2014
1053,49-0000,"Installation, Maintenance, and Repair Occupations",major,5244670,0.2,21.74,45220,0.1,11.16,14.9,20.25,27.43,34.88,23220,30980,42110,57060,72560,,,2014
1129,51-0000,Production Occupations,major,8934050,0.3,17.06,35490,0.2,9.22,11.36,15.25,20.83,27.85,19180,23630,31720,43320,57930,,,2014
1297,53-0000,Transportation and Material Moving Occupations,major,9249310,0.3,16.57,34460,0.3,8.71,10.25,14.2,19.97,27.62,18120,21330,29530,41530,57440,,,2014
1,11-0000,Management Occupations,major,6936990,0.2,55.3,115020,0.1,22.29,32.38,47.38,69.21,#,46370,67350,98560,143950,#,,,2015
70,13-0000,Business and Financial Operations Occupations,major,7032560,0.2,35.48,73800,0.2,17.49,23.36,31.59,42.89,57.18,36380,48580,65710,89200,118930,,,2015
128,15-0000,Computer and Mathematical Occupations,major,4005250,0.5,41.43,86170,0.5,20.12,27.94,39.15,52.64,66.55,41850,58120,81430,109490,138420,,,2015
161,17-0000,Architecture and Engineering Occupations,major,2475390,0.5,39.89,82980,0.3,20.18,27.26,36.96,49.38,63.16,41970,56700,76870,102710,131360,,,2015
221,19-0000,"Life, Physical, and Social Science Occupations",major,1146110,0.7,34.24,71220,0.4,15.67,21.22,29.88,42.85,57.78,32600,44130,62160,89120,120190,,,2015
292,21-0000,Community and Social Service Occupations,major,1972140,0.4,22.19,46160,0.4,11.81,15.28,20.2,27.48,35.85,24560,31780,42010,57150,74560,,,2015
319,23-0000,Legal Occupations,major,1062370,0.5,49.74,103460,0.6,17.41,24.31,37.58,65.22,#,36210,50560,78170,135660,#,,,2015
335,25-0000,"Education, Training, and Library Occupations",major,8542670,0.3,25.48,53000,0.4,10.24,15.01,22.7,31.76,43.28,21300,31220,47220,66060,90020,,,2015
431,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1843600,0.5,27.39,56980,0.5,9.91,14.41,22.19,33.66,48.71,20600,29980,46160,70020,101310,,,2015
493,29-0000,Healthcare Practitioners and Technical Occupations,major,8021800,0.3,37.4,77800,0.2,15.41,21.49,30.1,43.18,64.95,32050,44690,62610,89810,135090,,,2015
585,31-0000,Healthcare Support Occupations,major,3989910,0.4,14.19,29520,0.2,9.17,10.56,13,16.58,21.15,19080,21960,27040,34490,43990,,,2015
611,33-0000,Protective Service Occupations,major,3351620,0.4,21.45,44610,0.7,9.35,11.9,18.14,28.02,38.31,19440,24750,37730,58270,79690,,,2015
652,35-0000,Food Preparation and Serving Related Occupations,major,12577080,0.1,10.98,22850,0.2,8.13,8.73,9.41,11.75,16.04,16910,18160,19580,24450,33360,,,2015
686,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4407050,0.3,13.02,27080,0.2,8.48,9.35,11.47,15.12,20.05,17650,19450,23860,31450,41690,,,2015
704,39-0000,Personal Care and Service Occupations,major,4307500,0.4,12.33,25650,0.2,8.27,9.06,10.5,13.59,18.88,17200,18830,21850,28260,39280,,,2015
